Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Region_Type
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2017;289;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2018;275;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2019;244;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2020;182;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2021;202;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2022;276;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - nieprawidłowe zachowanie wobec pieszych;2023;247;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2014;178;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2015;158;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2016;186;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2017;186;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2018;155;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2019;122;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2020;124;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2021;135;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2022;175;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - niezachowanie bezpiecznej odległości między pojazdami;2023;189;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2014;355;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2015;359;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2016;386;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2017;372;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2018;383;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2019;342;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2020;282;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2021;307;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2022;425;szt.;województwo
200000;DOLNOŚLĄSKIE;wina kierujących pojazdami - pozostałe;2023;387;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2014;189;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2015;170;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2016;159;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2017;154;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2018;142;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2019;143;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2020;97;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2021;105;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2022;106;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - ogółem;2023;87;szt.;województwo
200000;DOLNOŚLĄSKIE;wina pieszych - nieostrożne wejście na jezdnię;2014;116;szt.;województwo
